agent,iteration,mean,std,num_runs,ci95,ci95_lower,ci95_upper
baseline,50,2.9971437654477873,0.11059156589952628,20,0.04846889078153973,2.9486748746662474,3.045612656229327
baseline,100,2.9569944504563264,0.11482392880737866,20,0.05032380561035142,2.906670644845975,3.007318256066678
baseline,150,2.917366094709624,0.12046466022878813,20,0.05279596515496518,2.864570129554659,2.970162059864589
baseline,200,2.876994914195738,0.1267714419160535,20,0.05556003409907251,2.8214348800966658,2.9325549482948103
baseline,250,2.836716540450969,0.13233736434997798,20,0.057999407159342764,2.778717133291626,2.8947159476103117
baseline,300,2.7974283314282493,0.135497455781711,20,0.059384378293610825,2.7380439531346386,2.85681270972186
baseline,350,2.7587309717156026,0.13670099853262155,20,0.05991185416096399,2.6988191175546388,2.8186428258765663
baseline,400,2.7205413695513454,0.13607778671839976,20,0.059638719540691734,2.660902650010654,2.780180089092037
lstm_no_embedding,50,3.0016101036474057,0.13958497725357397,20,0.06117581356424365,2.940434290083162,3.062785917211649
lstm_no_embedding,100,2.9570692150904074,0.18030049833757802,20,0.07902017744934281,2.878049037641065,3.03608939253975
lstm_no_embedding,150,2.9182906709756464,0.21997500895334235,20,0.09640829838067648,2.82188237259497,3.014698969356323
lstm_no_embedding,200,2.8873980619747046,0.24894480041787875,20,0.109104869290381,2.7782931926843237,2.9965029312650855
lstm_no_embedding,250,2.8641063008578813,0.2649613910059866,20,0.11612444961364833,2.747981851244233,2.9802307504715295
lstm_no_embedding,300,2.853080933749071,0.26569574347783287,20,0.116446293774761,2.73663463997431,2.9695272275238316
lstm_no_embedding,350,2.858796997455392,0.259400080743125,20,0.11368709792647008,2.745109899528922,2.972484095381862
lstm_no_embedding,400,2.8823198009429243,0.25348167473798056,20,0.11109324212986467,2.77122655881306,2.9934130430727888
lstm_no_history,50,2.9790218875396435,0.10544701284286773,20,0.04621419099322533,2.9328076965464183,3.0252360785328687
lstm_no_history,100,2.9438116041296314,0.14332366303155364,20,0.06281436485127419,2.8809972392783574,3.0066259689809054
lstm_no_history,150,2.916818362245374,0.1872610552772804,20,0.08207077603111555,2.834747586214258,2.9988891382764895
lstm_no_history,200,2.9011716507475107,0.22442892264693803,20,0.09836031212249671,2.802811338625014,2.9995319628700075
lstm_no_history,250,2.89758406814709,0.2581639303262113,20,0.11314533111939389,2.784438737027696,3.010729399266484
lstm_no_history,300,2.90858668561379,0.28513786722666357,20,0.1249671801993133,2.7836195054144763,3.0335538658131034
lstm_no_history,350,2.931957964303249,0.3029267352364584,20,0.13276349534939716,2.7991944689538517,3.064721459652646
lstm_no_history,400,2.963989811768692,0.31183510105340945,20,0.1366677588102842,2.827322052958408,3.100657570578976
lstm_optimized,50,3.036989576851978,0.14631952297163167,20,0.06412735836078244,2.9728622184911955,3.1011169352127603
lstm_optimized,100,3.009510455206592,0.1823066080205086,20,0.07989939378312805,2.929611061423464,3.08940984898972
lstm_optimized,150,2.9955804481201636,0.22474970414390352,20,0.09850090081219195,2.8970795473079716,3.0940813489323555
lstm_optimized,200,2.994596259663654,0.26375598749336765,20,0.11559615823151985,2.8790001014321343,3.110192417895174
lstm_optimized,250,3.0035949856703845,0.29634176868568674,20,0.12987750651332794,2.8737174791570568,3.1334724921837123
lstm_optimized,300,3.022447720455688,0.31940888677655416,20,0.1399871167561821,2.882460603699506,3.1624348372118702
lstm_optimized,350,3.0471478703603316,0.3328345578338831,20,0.14587117652921897,2.9012766938311128,3.1930190468895505
lstm_optimized,400,3.0769827644530734,0.33542098075737037,20,0.14700472635441328,2.92997803809866,3.223987490807487
