iteration,nash_conv
1000,0.023635620519572575
2000,0.013697177833378787
3000,0.010492986300464496
4000,0.0078312689005611
5000,0.007104732426882254
6000,0.006176466829206972
7000,0.004669052267557594
8000,0.004287087749855201
9000,0.004609414308764104
10000,0.004084728965653733
11000,0.0037606092136269753
12000,0.003252929204970806
13000,0.0032472263747655994
14000,0.003036393403975546
15000,0.002865992884206081
16000,0.0028171219026374428
17000,0.002443135868172075
18000,0.002682690127369658
19000,0.002527973834889924
20000,0.002339423399480234
