run_id,config_hash,timestamp,start_time,end_time,game,traversal,method,seed,iterations,eval_every,params_count,flops_est,hidden_dims,network_type,optimizer_cfg,replay_cfg,update_cadence,python_version,openspiel_version,torch_version,commit_hash,platform_info,final_exploitability,final_nashconv,best_exploitability,best_nashconv,mean_value,steps_to_threshold,time_to_threshold,wall_clock_s,ev_vs_tabular_cfr,ev_vs_deep_cfr,ev_vs_sd_cfr,ev_std_error,diagnostics_coverage,gradient_norms_logged,advantage_stats_logged,policy_kl_logged,clipping_events_logged,timing_logged,bootstrap_ci_lower,bootstrap_ci_upper,confidence_level,holm_bonferroni_corrected,final_training_loss,training_convergence,nash_conv_spikes,avg_gradient_norm,memory_usage_mb,cpu_utilization,training_flops,evaluation_flops,deterministic_cudnn,random_seed_set,environment_frozen
kuhn_deep_cfr_seed_10,00ec731e,2025-10-12T04:27:42.226628,2025-10-12T04:27:42.226653,2025-10-12T04:27:42.226654,kuhn_poker,external_sampling,deep_cfr,10,500,25,36872,73744,"[64, 64]",mlp,"{'type': 'adam', 'lr': 0.001}",{'buffer_size': 10000},1,3.11.13,1.6.4,2.2.0,b63cc0514913b217946114fb7112b33bd3943ba3,{'platform': 'darwin'},0.4583333333333332,0.9166666666666664,0.4583333333333332,0.9166666666666664,0.125,-1,-1.0,5.032320022583008,0.0,0.0,0.0,0.0,"{'gradient_norms_logged': True, 'advantage_stats_logged': True, 'policy_kl_logged': True, 'clipping_events_logged': True, 'timing_logged': True}",True,True,True,True,True,0.0,0.0,0.95,False,0.0,True,0,0.0,0.0,0.0,36872000,1474880,False,True,True
kuhn_deep_cfr_seed_11,f2488186,2025-10-12T04:27:47.254632,2025-10-12T04:27:47.254660,2025-10-12T04:27:47.254661,kuhn_poker,external_sampling,deep_cfr,11,500,25,36872,73744,"[64, 64]",mlp,"{'type': 'adam', 'lr': 0.001}",{'buffer_size': 10000},1,3.11.13,1.6.4,2.2.0,b63cc0514913b217946114fb7112b33bd3943ba3,{'platform': 'darwin'},0.4583333333333332,0.9166666666666664,0.4583333333333332,0.9166666666666664,0.125,-1,-1.0,5.002827882766724,0.0,0.0,0.0,0.0,"{'gradient_norms_logged': True, 'advantage_stats_logged': True, 'policy_kl_logged': True, 'clipping_events_logged': True, 'timing_logged': True}",True,True,True,True,True,0.0,0.0,0.95,False,0.0,True,0,0.0,0.0,0.0,36872000,1474880,False,True,True
kuhn_deep_cfr_seed_12,2d2c7218,2025-10-12T04:27:52.338447,2025-10-12T04:27:52.338468,2025-10-12T04:27:52.338472,kuhn_poker,external_sampling,deep_cfr,12,500,25,36872,73744,"[64, 64]",mlp,"{'type': 'adam', 'lr': 0.001}",{'buffer_size': 10000},1,3.11.13,1.6.4,2.2.0,b63cc0514913b217946114fb7112b33bd3943ba3,{'platform': 'darwin'},0.4583333333333332,0.9166666666666664,0.4583333333333332,0.9166666666666664,0.125,-1,-1.0,5.060693979263306,0.0,0.0,0.0,0.0,"{'gradient_norms_logged': True, 'advantage_stats_logged': True, 'policy_kl_logged': True, 'clipping_events_logged': True, 'timing_logged': True}",True,True,True,True,True,0.0,0.0,0.95,False,0.0,True,0,0.0,0.0,0.0,36872000,1474880,False,True,True
kuhn_deep_cfr_seed_13,9e4ebabe,2025-10-12T04:27:57.310250,2025-10-12T04:27:57.310277,2025-10-12T04:27:57.310278,kuhn_poker,external_sampling,deep_cfr,13,500,25,36872,73744,"[64, 64]",mlp,"{'type': 'adam', 'lr': 0.001}",{'buffer_size': 10000},1,3.11.13,1.6.4,2.2.0,b63cc0514913b217946114fb7112b33bd3943ba3,{'platform': 'darwin'},0.4583333333333332,0.9166666666666664,0.4583333333333332,0.9166666666666664,0.125,-1,-1.0,4.94762396812439,0.0,0.0,0.0,0.0,"{'gradient_norms_logged': True, 'advantage_stats_logged': True, 'policy_kl_logged': True, 'clipping_events_logged': True, 'timing_logged': True}",True,True,True,True,True,0.0,0.0,0.95,False,0.0,True,0,0.0,0.0,0.0,36872000,1474880,False,True,True
kuhn_deep_cfr_seed_14,b42b20a5,2025-10-12T04:28:02.229993,2025-10-12T04:28:02.230013,2025-10-12T04:28:02.230014,kuhn_poker,external_sampling,deep_cfr,14,500,25,36872,73744,"[64, 64]",mlp,"{'type': 'adam', 'lr': 0.001}",{'buffer_size': 10000},1,3.11.13,1.6.4,2.2.0,b63cc0514913b217946114fb7112b33bd3943ba3,{'platform': 'darwin'},0.4583333333333332,0.9166666666666664,0.4583333333333332,0.9166666666666664,0.125,-1,-1.0,4.893990755081177,0.0,0.0,0.0,0.0,"{'gradient_norms_logged': True, 'advantage_stats_logged': True, 'policy_kl_logged': True, 'clipping_events_logged': True, 'timing_logged': True}",True,True,True,True,True,0.0,0.0,0.95,False,0.0,True,0,0.0,0.0,0.0,36872000,1474880,False,True,True
kuhn_deep_cfr_seed_15,3c1091e9,2025-10-12T04:28:07.038276,2025-10-12T04:28:07.038299,2025-10-12T04:28:07.038300,kuhn_poker,external_sampling,deep_cfr,15,500,25,36872,73744,"[64, 64]",mlp,"{'type': 'adam', 'lr': 0.001}",{'buffer_size': 10000},1,3.11.13,1.6.4,2.2.0,b63cc0514913b217946114fb7112b33bd3943ba3,{'platform': 'darwin'},0.4583333333333332,0.9166666666666664,0.4583333333333332,0.9166666666666664,0.125,-1,-1.0,4.783444881439209,0.0,0.0,0.0,0.0,"{'gradient_norms_logged': True, 'advantage_stats_logged': True, 'policy_kl_logged': True, 'clipping_events_logged': True, 'timing_logged': True}",True,True,True,True,True,0.0,0.0,0.95,False,0.0,True,0,0.0,0.0,0.0,36872000,1474880,False,True,True
kuhn_deep_cfr_seed_16,cea0683d,2025-10-12T04:28:11.930954,2025-10-12T04:28:11.930974,2025-10-12T04:28:11.930975,kuhn_poker,external_sampling,deep_cfr,16,500,25,36872,73744,"[64, 64]",mlp,"{'type': 'adam', 'lr': 0.001}",{'buffer_size': 10000},1,3.11.13,1.6.4,2.2.0,b63cc0514913b217946114fb7112b33bd3943ba3,{'platform': 'darwin'},0.4583333333333332,0.9166666666666664,0.4583333333333332,0.9166666666666664,0.125,-1,-1.0,4.869239091873169,0.0,0.0,0.0,0.0,"{'gradient_norms_logged': True, 'advantage_stats_logged': True, 'policy_kl_logged': True, 'clipping_events_logged': True, 'timing_logged': True}",True,True,True,True,True,0.0,0.0,0.95,False,0.0,True,0,0.0,0.0,0.0,36872000,1474880,False,True,True
kuhn_deep_cfr_seed_17,312945cb,2025-10-12T04:28:16.711974,2025-10-12T04:28:16.711991,2025-10-12T04:28:16.711992,kuhn_poker,external_sampling,deep_cfr,17,500,25,36872,73744,"[64, 64]",mlp,"{'type': 'adam', 'lr': 0.001}",{'buffer_size': 10000},1,3.11.13,1.6.4,2.2.0,b63cc0514913b217946114fb7112b33bd3943ba3,{'platform': 'darwin'},0.4583333333333332,0.9166666666666664,0.4583333333333332,0.9166666666666664,0.125,-1,-1.0,4.758519172668457,0.0,0.0,0.0,0.0,"{'gradient_norms_logged': True, 'advantage_stats_logged': True, 'policy_kl_logged': True, 'clipping_events_logged': True, 'timing_logged': True}",True,True,True,True,True,0.0,0.0,0.95,False,0.0,True,0,0.0,0.0,0.0,36872000,1474880,False,True,True
kuhn_deep_cfr_seed_18,8e156fb3,2025-10-12T04:28:21.464116,2025-10-12T04:28:21.464135,2025-10-12T04:28:21.464136,kuhn_poker,external_sampling,deep_cfr,18,500,25,36872,73744,"[64, 64]",mlp,"{'type': 'adam', 'lr': 0.001}",{'buffer_size': 10000},1,3.11.13,1.6.4,2.2.0,b63cc0514913b217946114fb7112b33bd3943ba3,{'platform': 'darwin'},0.4583333333333332,0.9166666666666664,0.4583333333333332,0.9166666666666664,0.125,-1,-1.0,4.729508876800537,0.0,0.0,0.0,0.0,"{'gradient_norms_logged': True, 'advantage_stats_logged': True, 'policy_kl_logged': True, 'clipping_events_logged': True, 'timing_logged': True}",True,True,True,True,True,0.0,0.0,0.95,False,0.0,True,0,0.0,0.0,0.0,36872000,1474880,False,True,True
kuhn_deep_cfr_seed_19,07bcceab,2025-10-12T04:28:26.213618,2025-10-12T04:28:26.213642,2025-10-12T04:28:26.213643,kuhn_poker,external_sampling,deep_cfr,19,500,25,36872,73744,"[64, 64]",mlp,"{'type': 'adam', 'lr': 0.001}",{'buffer_size': 10000},1,3.11.13,1.6.4,2.2.0,b63cc0514913b217946114fb7112b33bd3943ba3,{'platform': 'darwin'},0.4583333333333332,0.9166666666666664,0.4583333333333332,0.9166666666666664,0.125,-1,-1.0,4.724883079528809,0.0,0.0,0.0,0.0,"{'gradient_norms_logged': True, 'advantage_stats_logged': True, 'policy_kl_logged': True, 'clipping_events_logged': True, 'timing_logged': True}",True,True,True,True,True,0.0,0.0,0.95,False,0.0,True,0,0.0,0.0,0.0,36872000,1474880,False,True,True
