iteration,lambda,actor_loss,critic_loss,regret_loss,total_loss,mean_regret
0,0.4919578731060028,0.643425703048706,0.6255529522895813,0.0,1.2689785957336426,0.40350064635276794
1,0.48412665724754333,0.691211998462677,1.4599272012710571,0.0,2.151139259338379,0.3970915973186493
2,0.47706010937690735,0.6932168006896973,0.787979245185852,0.0,1.4811960458755493,0.464460551738739
3,0.4712166488170624,0.652384877204895,1.1067302227020264,0.0,1.7591150999069214,0.3760058581829071
4,0.4674113988876343,0.536093533039093,1.017249584197998,0.0,1.5533430576324463,0.3986738324165344
5,0.4625622034072876,0.6509308815002441,1.3847975730895996,0.0,2.0357284545898438,0.47823911905288696
6,0.4578690528869629,0.6779078245162964,1.0803487300872803,0.0,1.7582565546035767,0.35827890038490295
7,0.4538824260234833,0.6592844128608704,1.2583141326904297,0.0,1.9175984859466553,0.4595981538295746
8,0.45079073309898376,0.6195962429046631,0.43791714310646057,0.0,1.0575133562088013,0.4365282952785492
9,0.44805535674095154,0.6160452365875244,0.6247037649154663,0.0,1.2407490015029907,0.4460468292236328
10,0.4458354413509369,0.5966783761978149,0.9591594934463501,0.0,1.555837869644165,0.3746732175350189
11,0.44351673126220703,0.6228213310241699,1.1828266382217407,0.0,1.8056479692459106,0.42113521695137024
12,0.44089576601982117,0.6663176417350769,1.4777188301086426,0.0,2.1440365314483643,0.44884201884269714
13,0.43872517347335815,0.6512539982795715,1.0767313241958618,0.0,1.7279853820800781,0.43339648842811584
14,0.4370652735233307,0.6275501847267151,1.1054928302764893,0.0,1.7330429553985596,0.39628180861473083
15,0.43627116084098816,0.5707274079322815,0.6781759262084961,0.0,1.2489032745361328,0.3582514822483063
16,0.43463701009750366,0.6455672383308411,1.3614217042922974,0.0,2.006989002227783,0.49671676754951477
17,0.43321096897125244,0.6420242786407471,0.924599289894104,0.0,1.566623568534851,0.4135984778404236
18,0.43221378326416016,0.6187725067138672,1.9197134971618652,0.0,2.5384860038757324,0.40392136573791504
19,0.43158289790153503,0.5970730185508728,0.9666959643363953,0.0,1.563768982887268,0.42516395449638367
20,0.43043896555900574,0.644080400466919,1.0889289379119873,0.0,1.7330093383789062,0.40167924761772156
21,0.42944663763046265,0.6410963535308838,1.5582464933395386,0.0,2.199342727661133,0.40635421872138977
22,0.42823848128318787,0.6668698787689209,1.396747350692749,0.0,2.06361722946167,0.4048309028148651
23,0.4276595115661621,0.6253840327262878,1.1336109638214111,0.0,1.7589950561523438,0.4016420245170593
24,0.4267047643661499,0.6608493328094482,1.095778465270996,0.0,1.7566277980804443,0.43332797288894653
25,0.42640063166618347,0.6154829263687134,0.6078709363937378,0.0,1.2233538627624512,0.4007894694805145
26,0.42603054642677307,0.6233689785003662,0.9658436179161072,0.0,1.5892126560211182,0.4413067102432251
27,0.4257339835166931,0.6203893423080444,0.8212084174156189,0.0,1.4415977001190186,0.4804401397705078
28,0.42522192001342773,0.6404529809951782,1.2125658988952637,0.0,1.853018879890442,0.4173881709575653
29,0.4247710406780243,0.6396428346633911,1.1383416652679443,0.0,1.7779844999313354,0.4296007454395294
30,0.42571505904197693,0.5291905403137207,1.0974072217941284,0.0,1.6265977621078491,0.36880064010620117
31,0.42470890283584595,0.6810448169708252,1.2805750370025635,0.0,1.9616198539733887,0.3194309175014496
32,0.4248218238353729,0.5976999402046204,1.2222846746444702,0.0,1.8199846744537354,0.4100644886493683
33,0.42448121309280396,0.6339006423950195,0.8873810172080994,0.0,1.5212817192077637,0.4181867241859436
34,0.4239971935749054,0.6484434008598328,0.9254574775695801,0.0,1.5739009380340576,0.5105692744255066
35,0.42425110936164856,0.5919767618179321,1.007572054862976,0.0,1.5995488166809082,0.4382080137729645
36,0.4233996868133545,0.6804242134094238,1.2541241645812988,0.0,1.9345483779907227,0.3998177647590637
37,0.4231274724006653,0.6399691700935364,1.421582579612732,0.0,2.061551809310913,0.4169274568557739
38,0.42283663153648376,0.6437262296676636,0.7369360327720642,0.0,1.380662202835083,0.4270075559616089
39,0.4223848879337311,0.6593075394630432,1.1680879592895508,0.0,1.8273954391479492,0.42801016569137573
40,0.4225088059902191,0.6158246397972107,0.8979932069778442,0.0,1.5138177871704102,0.47544315457344055
41,0.4225706160068512,0.6198983192443848,0.7037543058395386,0.0,1.3236526250839233,0.36814644932746887
42,0.4215918183326721,0.7047129273414612,1.1135764122009277,0.0,1.8182892799377441,0.5046827793121338
43,0.42154017090797424,0.6367210149765015,0.6877425312995911,0.0,1.3244636058807373,0.37688565254211426
44,0.42173412442207336,0.6170001029968262,1.0921028852462769,0.0,1.709102988243103,0.4309404492378235
45,0.4217011332511902,0.6340222358703613,0.9577031135559082,0.0,1.5917253494262695,0.3982032537460327
46,0.42162656784057617,0.6377050876617432,0.8925426006317139,0.0,1.530247688293457,0.39654186367988586
47,0.421872079372406,0.6120644807815552,1.1333723068237305,0.0,1.7454367876052856,0.3939676284790039
48,0.4220477342605591,0.6157835125923157,0.884349524974823,0.0,1.5001330375671387,0.43658140301704407
49,0.4213905334472656,0.6826436519622803,0.9764711856842041,0.0,1.6591148376464844,0.40794625878334045
