timestamp,iteration,metric,value,metadata
1760300593.897664,0,actor_loss,0.643425703048706,
1760300593.8976882,0,critic_loss,0.6255529522895813,
1760300593.897695,0,regret_loss,0.0,
1760300593.8977,0,total_loss,1.2689785957336426,
1760300593.897706,0,current_lambda,0.4919578731060028,
1760300593.8977122,0,mean_regret,0.40350064635276794,
1760300593.897718,0,avg_regret_loss,0.0,
1760300593.897723,0,avg_policy_loss,0.06434257030487059,
1760300593.9036312,1,actor_loss,0.691211998462677,
1760300593.9036422,1,critic_loss,1.4599272012710571,
1760300593.9036741,1,regret_loss,0.0,
1760300593.903677,1,total_loss,2.151139259338379,
1760300593.90368,1,current_lambda,0.48412665724754333,
1760300593.903682,1,mean_regret,0.3970915973186493,
1760300593.903685,1,avg_regret_loss,0.0,
1760300593.903687,1,avg_policy_loss,0.12702951312065122,
1760300593.9059432,2,actor_loss,0.6932168006896973,
1760300593.905953,2,critic_loss,0.787979245185852,
1760300593.905956,2,regret_loss,0.0,
1760300593.905958,2,total_loss,1.4811960458755493,
1760300593.905983,2,current_lambda,0.47706010937690735,
1760300593.905986,2,mean_regret,0.464460551738739,
1760300593.9059892,2,avg_regret_loss,0.0,
1760300593.9059908,2,avg_policy_loss,0.18364824187755582,
1760300593.910126,3,actor_loss,0.652384877204895,
1760300593.910144,3,critic_loss,1.1067302227020264,
1760300593.910151,3,regret_loss,0.0,
1760300593.910156,3,total_loss,1.7591150999069214,
1760300593.910162,3,current_lambda,0.4712166488170624,
1760300593.9101682,3,mean_regret,0.3760058581829071,
1760300593.910224,3,avg_regret_loss,0.0,
1760300593.910231,3,avg_policy_loss,0.23052190541028972,
1760300593.912822,4,actor_loss,0.536093533039093,
1760300593.912831,4,critic_loss,1.017249584197998,
1760300593.912834,4,regret_loss,0.0,
1760300593.912837,4,total_loss,1.5533430576324463,
1760300593.912839,4,current_lambda,0.4674113988876343,
1760300593.912842,4,mean_regret,0.3986738324165344,
1760300593.912844,4,avg_regret_loss,0.0,
1760300593.912847,4,avg_policy_loss,0.26107906817317006,
1760300593.915621,5,actor_loss,0.6509308815002441,
1760300593.91563,5,critic_loss,1.3847975730895996,
1760300593.915633,5,regret_loss,0.0,
1760300593.9156349,5,total_loss,2.0357284545898438,
1760300593.915638,5,current_lambda,0.4625622034072876,
1760300593.915641,5,mean_regret,0.47823911905288696,
1760300593.915643,5,avg_regret_loss,0.0,
1760300593.9156458,5,avg_policy_loss,0.30006424950587746,
1760300593.91796,6,actor_loss,0.6779078245162964,
1760300593.917969,6,critic_loss,1.0803487300872803,
1760300593.917993,6,regret_loss,0.0,
1760300593.917996,6,total_loss,1.7582565546035767,
1760300593.917999,6,current_lambda,0.4578690528869629,
1760300593.918001,6,mean_regret,0.35827890038490295,
1760300593.918004,6,avg_regret_loss,0.0,
1760300593.918006,6,avg_policy_loss,0.3378486070069193,
1760300593.920023,7,actor_loss,0.6592844128608704,
1760300593.920028,7,critic_loss,1.2583141326904297,
1760300593.920031,7,regret_loss,0.0,
1760300593.920034,7,total_loss,1.9175984859466553,
1760300593.92005,7,current_lambda,0.4538824260234833,
1760300593.920053,7,mean_regret,0.4595981538295746,
1760300593.9200552,7,avg_regret_loss,0.0,
1760300593.920057,7,avg_policy_loss,0.36999218759231445,
1760300593.9220312,8,actor_loss,0.6195962429046631,
1760300593.922037,8,critic_loss,0.43791714310646057,
1760300593.92204,8,regret_loss,0.0,
1760300593.9220428,8,total_loss,1.0575133562088013,
1760300593.922046,8,current_lambda,0.45079073309898376,
1760300593.92205,8,mean_regret,0.4365282952785492,
1760300593.9220622,8,avg_regret_loss,0.0,
1760300593.9220638,8,avg_policy_loss,0.3949525931235493,
1760300593.924164,9,actor_loss,0.6160452365875244,
1760300593.92417,9,critic_loss,0.6247037649154663,
1760300593.924174,9,regret_loss,0.0,
1760300593.924176,9,total_loss,1.2407490015029907,
1760300593.9241788,9,current_lambda,0.44805535674095154,
1760300593.924182,9,mean_regret,0.4460468292236328,
1760300593.924184,9,avg_regret_loss,0.0,
1760300593.92419,9,avg_policy_loss,0.4170618574699468,
1760300593.925869,10,actor_loss,0.5966783761978149,
1760300593.925877,10,critic_loss,0.9591594934463501,
1760300593.9258828,10,regret_loss,0.0,
1760300593.925886,10,total_loss,1.555837869644165,
1760300593.925888,10,current_lambda,0.4458354413509369,
1760300593.9258912,10,mean_regret,0.3746732175350189,
1760300593.925893,10,avg_regret_loss,0.0,
1760300593.925896,10,avg_policy_loss,0.4350235093427336,
1760300593.927999,11,actor_loss,0.6228213310241699,
1760300593.9280078,11,critic_loss,1.1828266382217407,
1760300593.928042,11,regret_loss,0.0,
1760300593.928045,11,total_loss,1.8056479692459106,
1760300593.9280481,11,current_lambda,0.44351673126220703,
1760300593.928053,11,mean_regret,0.42113521695137024,
1760300593.928055,11,avg_regret_loss,0.0,
1760300593.9280572,11,avg_policy_loss,0.4538032915108772,
1760300593.930743,12,actor_loss,0.6663176417350769,
1760300593.930749,12,critic_loss,1.4777188301086426,
1760300593.930752,12,regret_loss,0.0,
1760300593.9307551,12,total_loss,2.1440365314483643,
1760300593.930769,12,current_lambda,0.44089576601982117,
1760300593.930772,12,mean_regret,0.44884201884269714,
1760300593.930775,12,avg_regret_loss,0.0,
1760300593.930777,12,avg_policy_loss,0.4750547265332972,
1760300593.933117,13,actor_loss,0.6512539982795715,
1760300593.933124,13,critic_loss,1.0767313241958618,
1760300593.93313,13,regret_loss,0.0,
1760300593.933132,13,total_loss,1.7279853820800781,
1760300593.9331388,13,current_lambda,0.43872517347335815,
