run_id,game,policy,backend,device,iteration,exploitability,nash_conv,scheduler_loss
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,30,2.366184089606063,4.732368179212126,-2.1524647457131114
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,31,2.363170425805121,4.726340851610242,-3.062224154957362
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,32,2.363549595321187,4.727099190642374,-3.060966033212973
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,33,2.36973816637994,4.73947633275988,-3.1059433317114733
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,34,2.371062027304326,4.742124054608652,-3.146359529933531
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,35,2.3714425318421846,4.742885063684369,-3.093297130916521
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,36,2.36946278603749,4.73892557207498,-3.4441453845309096
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,37,2.3696074100704023,4.739214820140805,-2.1703755668944695
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,38,2.3710433913587483,4.742086782717497,-2.343128454183813
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,39,2.371855877028649,4.743711754057298,-2.991401244237116
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,40,2.372480904361625,4.74496180872325,-2.897467727909691
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,41,2.3730323705567864,4.746064741113573,-4.618015710531031
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,42,2.373054999968762,4.746109999937524,-5.399872155602077
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,43,2.3731027665329227,4.7462055330658455,-7.0772800822795805
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,44,2.373237740176786,4.746475480353572,-7.371983199710217
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,45,2.3733365116848777,4.746673023369755,-8.413646954428035
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,46,2.3733483254118095,4.746696650823619,-8.981767914212469
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,47,2.3732381582358997,4.746476316471799,-8.172401283338065
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,48,2.373354608800921,4.746709217601842,-6.862924504080721
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,49,2.373367165128724,4.746734330257448,-5.062964241443213
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,50,2.3733166876067067,4.746633375213413,-7.6253619010271505
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,51,2.373270479406443,4.746540958812886,-7.8635620872639915
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,52,2.3734072257741694,4.746814451548339,-6.823906179862859
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,53,2.3733361839765736,4.746672367953147,-5.863825832602318
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,54,2.3733541042686817,4.746708208537363,-9.233126159993727
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,55,2.373506214069247,4.747012428138494,-11.179114756095112
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,56,2.373413815072543,4.746827630145086,-12.879197403854436
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,57,2.3734328658814596,4.746865731762919,-14.20741951982875
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,58,2.3735001537477247,4.747000307495449,-13.310289852671447
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,59,2.3735209691966825,4.747041938393365,-18.5607346819499
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,60,2.3735788848164763,4.7471577696329526,-18.94856567922358
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,61,2.373590654509381,4.747181309018762,-25.285725632276158
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,62,2.3735139687707445,4.747027937541489,-20.823886941137577
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,63,2.3733549315373024,4.746709863074605,-23.18750885567075
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,64,2.373346587740309,4.746693175480618,-19.56123712643657
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,65,2.3734588343176197,4.7469176686352395,-21.847152003134177
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,66,2.3735037704129502,4.7470075408259005,-20.904709061295062
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,67,2.373559471420923,4.747118942841846,-20.893692130073735
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,68,2.3736664143726576,4.747332828745315,-24.172199672813985
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,69,2.373892778145586,4.747785556291172,-24.60229237383201
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,70,2.374041130479197,4.748082260958394,-37.59402928122152
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,71,2.3741912033014554,4.748382406602911,-45.13736548845685
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,72,2.3741467380785513,4.7482934761571025,-44.87761819668988
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,73,2.374217392518645,4.74843478503729,-40.68061296623084
leduc_poker_neural_tabular_seed0_iter500_epi128_backendrust_devicecpu_20251019_171716,leduc_poker,neural_tabular,rust,cpu,74,2.3744711090938475,4.748942218187695,-45.88185904586196
