timestamp,iteration,metric,value,metadata
1760300594.328237,0,actor_loss,0.6640009880065918,
1760300594.328244,0,critic_loss,0.9914005994796753,
1760300594.328248,0,regret_loss,0.11964274942874908,
1760300594.328251,0,total_loss,1.775044322013855,
1760300594.328254,0,current_lambda,0.1,
1760300594.328257,0,mean_regret,0.22655744850635529,
1760300594.328259,0,avg_regret_loss,0.011964274942874905,
1760300594.3282619,0,avg_policy_loss,0.06640009880065917,
1760300594.3326788,1,actor_loss,0.6866828203201294,
1760300594.3326871,1,critic_loss,1.1343493461608887,
1760300594.3327081,1,regret_loss,0.14665888249874115,
1760300594.332712,1,total_loss,1.9676910638809204,
1760300594.332714,1,current_lambda,0.1,
1760300594.332717,1,mean_regret,0.2589167356491089,
1760300594.332719,1,avg_regret_loss,0.025433735698461524,
1760300594.332722,1,avg_policy_loss,0.12842837095260617,
1760300594.337835,2,actor_loss,0.6419492363929749,
1760300594.337842,2,critic_loss,1.0644038915634155,
1760300594.337845,2,regret_loss,0.1625710427761078,
1760300594.337848,2,total_loss,1.8689242601394653,
1760300594.337864,2,current_lambda,0.1,
1760300594.337867,2,mean_regret,0.24421776831150055,
1760300594.3378701,2,avg_regret_loss,0.03914746640622615,
1760300594.3378718,2,avg_policy_loss,0.17978045749664304,
1760300594.343283,3,actor_loss,0.6449838876724243,
1760300594.3432891,3,critic_loss,1.5845845937728882,
1760300594.343292,3,regret_loss,0.08810510486364365,
1760300594.3432949,3,total_loss,2.317673683166504,
1760300594.343298,3,current_lambda,0.1,
1760300594.3433,3,mean_regret,0.16816948354244232,
1760300594.3433259,3,avg_regret_loss,0.044043230251967894,
1760300594.343331,3,avg_policy_loss,0.22630080051422113,
1760300594.346943,4,actor_loss,0.616369366645813,
1760300594.3469481,4,critic_loss,0.8287079930305481,
1760300594.346952,4,regret_loss,0.0637146607041359,
1760300594.346955,4,total_loss,1.5087920427322388,
1760300594.3469582,4,current_lambda,0.1,
1760300594.3469598,4,mean_regret,0.1573551893234253,
1760300594.346962,4,avg_regret_loss,0.046010373297184694,
1760300594.346965,4,avg_policy_loss,0.2653076571273803,
1760300594.3506382,5,actor_loss,0.7031615972518921,
1760300594.3506482,5,critic_loss,0.6701361536979675,
1760300594.3506508,5,regret_loss,0.1016160398721695,
1760300594.350654,5,total_loss,1.4749137163162231,
1760300594.350657,5,current_lambda,0.1,
1760300594.3506591,5,mean_regret,0.21628935635089874,
1760300594.350662,5,avg_regret_loss,0.05157093995468317,
1760300594.350664,5,avg_policy_loss,0.3090930511398315,
1760300594.357047,6,actor_loss,0.6573446393013,
1760300594.357056,6,critic_loss,1.3365495204925537,
1760300594.357087,6,regret_loss,0.03713105618953705,
1760300594.35709,6,total_loss,2.0310251712799072,
1760300594.357093,6,current_lambda,0.1,
1760300594.357095,6,mean_regret,0.11823152750730515,
1760300594.357098,6,avg_regret_loss,0.05012695157816856,
1760300594.3571,6,avg_policy_loss,0.3439182099559783,
1760300594.3611,7,actor_loss,0.5920133590698242,
1760300594.3611279,7,critic_loss,0.9929608702659607,
1760300594.3611321,7,regret_loss,0.07087862491607666,
1760300594.361135,7,total_loss,1.6558529138565063,
1760300594.361152,7,current_lambda,0.1,
1760300594.361155,7,mean_regret,0.15405681729316711,
1760300594.361158,7,avg_regret_loss,0.05220211891195937,
1760300594.36116,7,avg_policy_loss,0.3687277248673629,
1760300594.365184,8,actor_loss,0.594621479511261,
1760300594.365193,8,critic_loss,1.1126482486724854,
1760300594.365196,8,regret_loss,0.06425084173679352,
1760300594.3651981,8,total_loss,1.7715204954147339,
1760300594.365201,8,current_lambda,0.1,
1760300594.3652039,8,mean_regret,0.1352091282606125,
1760300594.36523,8,avg_regret_loss,0.05340699119444278,
1760300594.365233,8,avg_policy_loss,0.3913171003317527,
1760300594.368534,9,actor_loss,0.6407362818717957,
1760300594.36856,9,critic_loss,0.7372270822525024,
1760300594.368567,9,regret_loss,0.06028619036078453,
1760300594.368573,9,total_loss,1.4382494688034058,
1760300594.3685791,9,current_lambda,0.1,
1760300594.368584,9,mean_regret,0.13956737518310547,
1760300594.36859,9,avg_regret_loss,0.054094911111076956,
1760300594.368596,9,avg_policy_loss,0.41625901848575697,
1760300594.37312,10,actor_loss,0.6632198691368103,
1760300594.373127,10,critic_loss,1.2450287342071533,
1760300594.373131,10,regret_loss,0.07076678425073624,
1760300594.373133,10,total_loss,1.9790154695510864,
1760300594.3731358,10,current_lambda,0.1,
1760300594.373138,10,mean_regret,0.16723093390464783,
1760300594.373141,10,avg_regret_loss,0.055762098425042886,
1760300594.373143,10,avg_policy_loss,0.4409551035508623,
1760300594.3776672,11,actor_loss,0.6641468405723572,
1760300594.377673,11,critic_loss,0.6872302293777466,
1760300594.377686,11,regret_loss,0.05586405470967293,
1760300594.3776891,11,total_loss,1.4072411060333252,
1760300594.377692,11,current_lambda,0.1,
1760300594.377694,11,mean_regret,0.1311018168926239,
1760300594.377696,11,avg_regret_loss,0.05577229405350589,
1760300594.377701,11,avg_policy_loss,0.4632742772530118,
1760300594.384456,12,actor_loss,0.6602356433868408,
1760300594.384498,12,critic_loss,0.7115527987480164,
1760300594.384514,12,regret_loss,0.04612308368086815,
1760300594.384521,12,total_loss,1.4179115295410156,
1760300594.384575,12,current_lambda,0.1,
1760300594.384584,12,mean_regret,0.15560483932495117,
1760300594.384587,12,avg_regret_loss,0.05480737301624211,
1760300594.3845901,12,avg_policy_loss,0.48297041386639467,
1760300594.388993,13,actor_loss,0.636025071144104,
1760300594.3889978,13,critic_loss,0.822035551071167,
