run_id,game,policy,backend,device,seed,iterations,final_exploitability,final_nash_conv,exploit_auc,nash_auc
kuhn_poker_neural_tabular_seed1_iter500_epi128_backendrust_iter500_epi128_neural_20251017_222010,kuhn_poker,neural_tabular,unknown,unknown,1,500,0.3333584127228797,0.6667168254457594,145.6389358494336,291.2778716988672
kuhn_poker_neural_tabular_seed1_iter500_epi128_backendrust_iter500_epi128_neural_20251017_223539,kuhn_poker,neural_tabular,unknown,unknown,1,500,0.2713968430233739,0.5427936860467478,160.43690013528408,320.87380027056815
kuhn_poker_neural_tabular_seed2_iter500_epi128_backendpyspiel_devicecpu_iter500_epi128_pyspiel_neural_20251019_182156,kuhn_poker,neural_tabular,pyspiel,cpu,2,500,0.37499999583333343,0.7499999916666669,190.1260162006229,380.2520324012458
kuhn_poker_neural_tabular_seed2_iter500_epi128_backendrust_devicecpu_iter500_epi128_rust_neural_20251020_000810,kuhn_poker,neural_tabular,rust,cpu,2,500,0.3333333295833334,0.6666666591666668,168.13404120159134,336.2680824031827
kuhn_poker_neural_tabular_seed2_iter500_epi128_backendrust_iter500_epi128_neural_20251017_222030,kuhn_poker,neural_tabular,unknown,unknown,2,500,0.34852347045538434,0.6970469409107687,149.7617379911592,299.5234759823184
kuhn_poker_neural_tabular_seed2_iter500_epi128_backendrust_iter500_epi128_neural_20251017_223601,kuhn_poker,neural_tabular,unknown,unknown,2,500,0.3094749676805899,0.6189499353611798,152.9590373134095,305.918074626819
kuhn_poker_neural_tabular_seed3_iter500_epi128_backendpyspiel_devicecpu_iter500_epi128_pyspiel_neural_20251019_183721,kuhn_poker,neural_tabular,pyspiel,cpu,3,500,0.29166666367694827,0.5833333273538965,156.52109841441904,313.0421968288381
kuhn_poker_neural_tabular_seed3_iter500_epi128_backendrust_devicecpu_iter500_epi128_rust_neural_20251020_002400,kuhn_poker,neural_tabular,rust,cpu,3,500,0.5416666575000002,1.0833333150000004,205.17966730012938,410.35933460025876
kuhn_poker_neural_tabular_seed3_iter500_epi128_backendrust_iter500_epi128_neural_20251017_222050,kuhn_poker,neural_tabular,unknown,unknown,3,500,0.32129030946399784,0.6425806189279957,138.82900838675144,277.6580167735029
kuhn_poker_neural_tabular_seed3_iter500_epi128_backendrust_iter500_epi128_neural_20251017_223621,kuhn_poker,neural_tabular,unknown,unknown,3,500,0.3316073405704567,0.6632146811409134,145.42677754281073,290.85355508562145
kuhn_poker_neural_tabular_seed4_iter500_epi128_backendpyspiel_devicecpu_iter500_epi128_pyspiel_neural_20251019_185331,kuhn_poker,neural_tabular,pyspiel,cpu,4,500,0.12499999750000007,0.24999999500000014,75.94157051531259,151.88314103062518
kuhn_poker_neural_tabular_seed4_iter500_epi128_backendrust_devicecpu_iter500_epi128_rust_neural_20251020_004038,kuhn_poker,neural_tabular,rust,cpu,4,500,0.3749999962500001,0.7499999925000002,194.44615682518474,388.8923136503695
kuhn_poker_neural_tabular_seed4_iter500_epi128_backendrust_iter500_epi128_neural_20251017_222109,kuhn_poker,neural_tabular,unknown,unknown,4,500,0.20417529088730443,0.40835058177460887,132.8452150653026,265.6904301306052
kuhn_poker_neural_tabular_seed4_iter500_epi128_backendrust_iter500_epi128_neural_20251017_223642,kuhn_poker,neural_tabular,unknown,unknown,4,500,0.22795761624391134,0.4559152324878227,136.0200627539145,272.040125507829
leduc_poker_cfr_seed0_iter1000_epi128_backendpyspiel_cfr_iter1000_cfr_20251017_222931,leduc_poker,cfr,unknown,unknown,0,1000,0.01181720325037413,0.02363440650074826,59.31419698143802,118.62839396287605
