agent,iteration,mean,std,num_runs,ci95,ci95_lower,ci95_upper
baseline,50,3.01566251578948,0.10823851359053374,20,0.04743762013770578,2.9682248956517743,3.0631001359271854
baseline,100,2.9671295712378862,0.11356565714279984,20,0.049772343739024054,2.9173572274988624,3.01690191497691
baseline,150,2.919171339046559,0.11916525845860602,20,0.052226477220075875,2.866944861826483,2.971397816266635
baseline,200,2.872537326244475,0.12363756505184927,20,0.054186552005583505,2.8183507742388914,2.9267238782500584
lstm_no_embedding,50,3.0321891302899164,0.1441178480079799,20,0.06316243176369783,2.9690266985262186,3.0953515620536143
lstm_no_embedding,100,3.0164059257613784,0.17296441982315827,20,0.07580499928102523,2.940600926480353,3.0922109250424037
lstm_no_embedding,150,3.0011496896039658,0.19661003908207714,20,0.0861681488394973,2.9149815407644684,3.087317838443463
lstm_no_embedding,200,2.989673523431506,0.21825797381706372,20,0.09565577455291945,2.8940177488785865,3.0853292979844253
lstm_no_history,50,2.9925897675262627,0.16192418202058548,20,0.07096640172701936,2.921623365799243,3.0635561692532822
lstm_no_history,100,2.9524985717369723,0.19555750199981908,20,0.08570685412440271,2.8667917176125695,3.038205425861375
lstm_no_history,150,2.9241230015675925,0.2368842140868178,20,0.10381908427696862,2.820303917290624,3.027942085844561
lstm_no_history,200,2.909097223553051,0.27221837229810786,20,0.1193049618958513,2.7897922616571993,3.0284021854489023
lstm_optimized,50,2.9415433585895596,0.133881895132085,20,0.058676327620480695,2.882867030969079,3.0002196862100403
lstm_optimized,100,2.9243194110844675,0.15114420118217262,20,0.06624186681665543,2.858077544267812,2.990561277901123
lstm_optimized,150,2.9154486498538335,0.17788455753982013,20,0.07796134471007607,2.8374873051437572,2.9934099945639097
lstm_optimized,200,2.918431841866652,0.2059801560956162,20,0.09027478368497983,2.828157058181672,3.008706625551632
