architecture,num_runs,mean_final_exploitability,std_final_exploitability,min_final_exploitability,max_final_exploitability
opponent_model,5,2.2578463611538004,0.10307439030472927,2.1481960310534274,2.384370541026932
baseline,90,2.68719858666208,0.20081329382587138,1.920211479611094,3.0588145054766915
lstm_no_embedding,80,3.0184804362404516,0.2633493674884192,2.5371186189461383,3.5837886895297246
lstm_no_history,80,3.0185539784524145,0.28623360412922894,2.503118470048683,3.537941298527049
lstm_optimized,90,3.0602783884802105,0.2913671703108957,2.287880343192152,3.5578691347369977
gru,10,3.2135649189507616,0.2390520282266773,2.710221870845685,3.4679694138131256
