baseline,lstm_optimized,lstm_no_history,lstm_no_embedding
"[[[50, 3.0041130397427027], [100, 2.901173439544627], [150, 2.826404203800826], [200, 2.778472405016467]], [[50, 2.766207808275967], [100, 2.65834707552702], [150, 2.563532564303744], [200, 2.4756334989324325]], [[50, 2.8785803174622595], [100, 2.7470567082296253], [150, 2.6505290507791557], [200, 2.5657671488782094]], [[50, 2.960856291146003], [100, 2.8306614884686017], [150, 2.756561974198063], [200, 2.696160809964217]], [[50, 2.936368603660609], [100, 2.852432338775889], [150, 2.7395484403873156], [200, 2.628419749327524]], [[50, 3.0642663236227525], [100, 2.9556015230252064], [150, 2.853606916565631], [200, 2.7642049819307726]], [[50, 2.800090475348299], [100, 2.646645187926586], [150, 2.536205772731035], [200, 2.4464525753037285]], [[50, 2.8755854640667544], [100, 2.712460731168243], [150, 2.577258864843213], [200, 2.460122260373665]], [[50, 3.0705530737306], [100, 2.920813536679681], [150, 2.7876685163696155], [200, 2.6869893543719297]], [[50, 2.777432718679128], [100, 2.715114181648423], [150, 2.6441114719543983], [200, 2.581697104017118]], [[50, 3.0822175578083186], [100, 2.925357685472717], [150, 2.7743421471978986], [200, 2.656815086933944]], [[50, 3.0021324663490043], [100, 2.909637332965524], [150, 2.831344118726745], [200, 2.738624175907762]], [[50, 2.9606368680223465], [100, 2.807415326965822], [150, 2.6815500210405725], [200, 2.5756042477917243]], [[50, 3.002486712699762], [100, 2.8910414558451722], [150, 2.790215337553514], [200, 2.706283545518077]], [[50, 2.967787396815956], [100, 2.83257318162826], [150, 2.702383485055693], [200, 2.5865448955499857]], [[50, 2.928060689896413], [100, 2.8193017908700253], [150, 2.7177073795381887], [200, 2.627315669154676]], [[50, 2.987386035999608], [100, 2.8634634860113986], [150, 2.7436509588262847], [200, 2.646718160872312]], [[50, 2.8748756318386537], [100, 2.81087752124234], [150, 2.7419719319912814], [200, 2.654310910093493]], [[50, 2.878784565278454], [100, 2.7724244744529445], [150, 2.6902927643078764], [200, 2.607340764822446]], [[50, 2.7680920810525675], [100, 2.629347652192808], [150, 2.524796040559207], [200, 2.4239193750124577]]]","[[[50, 2.894821813112232], [100, 2.940894561085733], [150, 3.1076011701732296], [200, 3.388483490068507]], [[50, 3.0946110391682913], [100, 3.151967463615495], [150, 3.2882924031284433], [200, 3.46399695593109]], [[50, 2.7694444316109377], [100, 2.6837431077046805], [150, 2.685691050828917], [200, 2.8361179415272733]], [[50, 3.259608320637631], [100, 3.343094287565586], [150, 3.2149184106521393], [200, 3.1087914813994]], [[50, 2.8797931379546404], [100, 2.7477205543950314], [150, 2.754312652537045], [200, 2.916470108216429]], [[50, 2.7684911128647443], [100, 2.660286702426856], [150, 2.676177104279782], [200, 2.7813706518171815]], [[50, 3.1203969523387065], [100, 3.184512259313569], [150, 3.1109590477618885], [200, 3.058726797908204]], [[50, 2.7956734909123866], [100, 2.8430080456945586], [150, 2.9981745851541466], [200, 3.1353481766736153]], [[50, 3.058461053775907], [100, 3.116623569975503], [150, 3.251847896606234], [200, 3.4517440465160933]], [[50, 2.887317672598829], [100, 2.7629002070990176], [150, 2.7339654563745284], [200, 2.8376817255923026]], [[50, 2.9666829646631783], [100, 3.018766219110184], [150, 3.003595753016464], [200, 2.992820837368036]], [[50, 2.9423018287109213], [100, 2.961975386211355], [150, 3.030796572521582], [200, 3.1853699674598954]], [[50, 2.714507146204478], [100, 2.6012335945949063], [150, 2.6615488808519516], [200, 2.848536633720251]], [[50, 2.7744607600646973], [100, 2.747561365312357], [150, 2.842275940669997], [200, 3.0575498215734958]], [[50, 3.0332514988468033], [100, 3.2294268363956347], [150, 3.3614254260793826], [200, 3.2884577483947033]], [[50, 3.0787925911988205], [100, 3.015709278846742], [150, 2.9016044567127466], [200, 2.8832064181799835]], [[50, 3.116668317905108], [100, 3.2709662158804558], [150, 3.2845585380391964], [200, 3.1868641032321725]], [[50, 2.859332029072957], [100, 2.812835195895547], [150, 2.8440374306594385], [200, 2.9305808858150955]], [[50, 2.9812718900510475], [100, 3.0257570470050306], [150, 3.112498778477133], [200, 3.2810648775861377]], [[50, 3.278621583292668], [100, 3.2627693733498813], [150, 3.22161578425297], [200, 3.214595151684688]]]","[[[50, 3.082384158959343], [100, 3.140584434717533], [150, 3.111081117869428], [200, 3.042438808773737]], [[50, 2.757206311771275], [100, 2.6191339108577227], [150, 2.600389545439555], [200, 2.694595829636645]], [[50, 3.0185978725273324], [100, 2.967386931871457], [150, 2.8740977738811173], [200, 2.7728424207978994]], [[50, 3.197804424263565], [100, 3.3002810174176402], [150, 3.373317420436965], [200, 3.4658892925913496]], [[50, 2.969805296082322], [100, 2.9526230220919003], [150, 2.8871458281819273], [200, 2.858479844154727]], [[50, 2.973325776920078], [100, 3.0188553955125834], [150, 3.201710781615103], [200, 3.3782434274803754]], [[50, 2.917184360519571], [100, 2.8321509461669963], [150, 2.9275200393969416], [200, 3.11620795576448]], [[50, 3.1397578581598564], [100, 3.143294851110001], [150, 3.1806627119650823], [200, 3.2452878525805926]], [[50, 2.8923076637357514], [100, 2.8836087574318743], [150, 3.0089639541206328], [200, 3.224863353140025]], [[50, 2.794550878158391], [100, 2.7348151326356267], [150, 2.884529895993881], [200, 3.1373190221083442]], [[50, 3.3015490145664907], [100, 3.422452792581072], [150, 3.4866733904895693], [200, 3.4369821460177956]], [[50, 2.67858504583282], [100, 2.73434996352872], [150, 2.904528592636015], [200, 3.1874804329870283]], [[50, 2.9501491295365914], [100, 2.949997966574146], [150, 3.1420343055587514], [200, 3.399216564840692]], [[50, 3.1656344894230677], [100, 3.270042349671983], [150, 3.273094078444693], [200, 3.1974554635274517]], [[50, 2.9218336489095535], [100, 3.0727153671888874], [150, 3.256956402748483], [200, 3.4002387333377513]], [[50, 2.6801251156551635], [100, 2.632332273625751], [150, 2.7312308750996435], [200, 2.987765375159975]], [[50, 2.8139258890748895], [100, 2.7149509489561328], [150, 2.8222462831487456], [200, 3.0495153922404747]], [[50, 3.141604427816979], [100, 3.1692408090251054], [150, 3.2648520270459453], [200, 3.456462067639641]], [[50, 3.264858205674395], [100, 3.3619760133828205], [150, 3.459706414729043], [200, 3.515983389302333]], [[50, 2.805433417922013], [100, 2.5093506757724042], [150, 2.4415868258525797], [200, 2.5752734535637534]]]","[[[50, 2.9598403095613866], [100, 2.997387879364195], [150, 3.0586727972009866], [200, 3.076496879562123]], [[50, 3.3889281128437574], [100, 3.4420206345499507], [150, 3.2685843585796706], [200, 3.1710489029165783]], [[50, 3.0622940745909193], [100, 3.175465782599041], [150, 3.1122198998325885], [200, 3.0405170114926374]], [[50, 2.898708138190517], [100, 2.9354082254536533], [150, 3.115797929164766], [200, 3.3654799799618345]], [[50, 2.8643664439072283], [100, 2.9804152513989055], [150, 3.1489310981856042], [200, 3.2004651646935285]], [[50, 3.1655423599470836], [100, 3.221183574122243], [150, 3.3285570139459235], [200, 3.3659457937541717]], [[50, 2.930908808919286], [100, 2.754098833366139], [150, 2.7031620182282654], [200, 2.7791149049922126]], [[50, 3.122899322533311], [100, 3.0538940373771006], [150, 2.9485737251812294], [200, 2.9154491587009237]], [[50, 3.045929751969515], [100, 2.971209144562479], [150, 2.9780134500336013], [200, 3.10603747703409]], [[50, 2.780515180674536], [100, 2.5767082595214377], [150, 2.500731172414456], [200, 2.603915796595293]], [[50, 2.591966415959884], [100, 2.545083679943784], [150, 2.625813828042999], [200, 2.8199575215829333]], [[50, 2.7103098963757435], [100, 2.6515702345985956], [150, 2.777823231571956], [200, 2.997455454046002]], [[50, 3.143946410113237], [100, 3.3011580749975087], [150, 3.4498754063787436], [200, 3.507843785616599]], [[50, 3.1536008222406613], [100, 3.262025311265012], [150, 3.381951272304786], [200, 3.52084333285778]], [[50, 3.161963561467481], [100, 3.230052285602441], [150, 3.4020432136549075], [200, 3.535786925703299]], [[50, 3.1547971578160467], [100, 3.266414979346151], [150, 3.364447700640899], [200, 3.297045762235311]], [[50, 2.8999232605816037], [100, 2.8887337852331543], [150, 2.9804324245263887], [200, 3.1422886826999816]], [[50, 3.0196209266211747], [100, 2.9892399467790627], [150, 2.858975703595421], [200, 2.796775603484207]], [[50, 2.7889319116376323], [100, 2.7839286152007814], [150, 2.9113675499044307], [200, 3.1186887939416335]], [[50, 2.9308416963085793], [100, 2.8938543186075965], [150, 3.030858469236589], [200, 3.3101087999753855]]]"
"[[[50, 3.002157540473479], [100, 2.8871530536455263], [150, 2.7923660710516978], [200, 2.7143962635203307]], [[50, 2.828431976580853], [100, 2.751407676655296], [150, 2.6804539823003126], [200, 2.5989798858439945]], [[50, 3.0037858394713455], [100, 2.9059102225283215], [150, 2.815063239269427], [200, 2.743310034650153]], [[50, 2.945498143737676], [100, 2.8064147438501204], [150, 2.6932869332686717], [200, 2.6016196983303073]], [[50, 2.9445834823863084], [100, 2.783605769473399], [150, 2.673887605393042], [200, 2.570171971462616]], [[50, 2.801285784343435], [100, 2.6519204388037116], [150, 2.5489524578343894], [200, 2.4514824518327982]], [[50, 2.7733510881877113], [100, 2.660225552952651], [150, 2.5682531601283842], [200, 2.5026530618989664]], [[50, 3.0706757589270466], [100, 2.9370432524522068], [150, 2.8056701174989587], [200, 2.6952203470506513]], [[50, 3.1659929036445162], [100, 3.070522128648575], [150, 2.987789254500391], [200, 2.9282940706789753]], [[50, 3.030722796034765], [100, 2.942929165658856], [150, 2.831405270042031], [200, 2.7457546949165215]], [[50, 2.8821474837871346], [100, 2.763950902170436], [150, 2.6847168044585143], [200, 2.6016008909512442]], [[50, 2.8846058991408037], [100, 2.749459629145567], [150, 2.628305974639552], [200, 2.5365143066002847]], [[50, 3.026770938942582], [100, 2.9315538566165427], [150, 2.8250412173985846], [200, 2.6997610905132947]], [[50, 2.804100389921688], [100, 2.7570337810385377], [150, 2.7069202422693457], [200, 2.6574726416296928]], [[50, 2.789315717405475], [100, 2.647256757237407], [150, 2.5469144285915855], [200, 2.4462027913651365]], [[50, 2.8229985056909155], [100, 2.6818194354986673], [150, 2.5784739191520134], [200, 2.477811335889757]], [[50, 2.755295152356573], [100, 2.675100470945977], [150, 2.6026660710854377], [200, 2.539008338662628]], [[50, 2.972204525222464], [100, 2.8889988197181995], [150, 2.7877961561533295], [200, 2.676262477363297]], [[50, 2.8038858553103796], [100, 2.746582835152478], [150, 2.709643025214167], [200, 2.669672036356823]], [[50, 2.960608641738217], [100, 2.822303308799854], [150, 2.7002855046105525], [200, 2.60760557315564]]]","[[[50, 2.906352129982729], [100, 2.9644382341435174], [150, 3.1469648503336605], [200, 3.4226561333415595]], [[50, 3.0381998363015987], [100, 2.9921257333158904], [150, 2.9323918148962704], [200, 2.9257189274398794]], [[50, 2.84297832434389], [100, 2.628123397466456], [150, 2.5839746664786625], [200, 2.7073313209062584]], [[50, 2.697020740683311], [100, 2.5543579649276893], [150, 2.5327693926192882], [200, 2.648196176048465]], [[50, 3.0681344719540182], [100, 3.11384572939355], [150, 3.1338603609390585], [200, 3.178652586352602]], [[50, 2.753384025219599], [100, 2.8438059275966365], [150, 3.0141304073668276], [200, 3.1973395284581088]], [[50, 2.6857095140707674], [100, 2.6505336539663396], [150, 2.7801646260124757], [200, 2.9950260869877465]], [[50, 2.608352418915192], [100, 2.562255260199285], [150, 2.614957744351947], [200, 2.7395509175400963]], [[50, 2.9900075927461502], [100, 2.8843640942706883], [150, 2.949960686523424], [200, 3.1070333362926164]], [[50, 2.966336755837668], [100, 3.088378829689503], [150, 3.2823291917462485], [200, 3.5156508982696315]], [[50, 2.980284336505021], [100, 3.058463145694085], [150, 3.245704782325365], [200, 3.4585563815950464]], [[50, 2.884589897959759], [100, 2.821463643293805], [150, 2.9092569650466364], [200, 3.068582040037565]], [[50, 3.0182427688852527], [100, 3.124703496581106], [150, 3.2986294134338867], [200, 3.5131007420801805]], [[50, 3.0725525875587207], [100, 3.2087350295294024], [150, 3.4042263472443826], [200, 3.556631041563844]], [[50, 2.6539737750776937], [100, 2.4351721393635963], [150, 2.249534570378747], [200, 2.287880343192152]], [[50, 3.10215822137962], [100, 3.310363939109744], [150, 3.4896657098343056], [200, 3.5578691347369977]], [[50, 3.056191364143346], [100, 2.8419868797765306], [150, 2.7019550646531085], [200, 2.6979261958613483]], [[50, 3.2114520541055565], [100, 3.4325394878849758], [150, 3.5230569368175537], [200, 3.4153195469484956]], [[50, 2.8772843998524893], [100, 2.735280500898521], [150, 2.7114190159961433], [200, 2.825356159511215]], [[50, 3.068541189398852], [100, 2.9517067152784153], [150, 3.0261020445015427], [200, 3.2436388653567523]]]","[[[50, 3.011703762267069], [100, 2.950774410025267], [150, 2.9495476228516964], [200, 3.040952289754122]], [[50, 3.18634566217885], [100, 3.251964735621441], [150, 3.2232441378164887], [200, 3.25188052236365]], [[50, 2.798087303320125], [100, 2.625042477542141], [150, 2.535819571116959], [200, 2.5621120552075136]], [[50, 2.9902665735100036], [100, 2.7803585933725836], [150, 2.735516515584405], [200, 2.8300245629649345]], [[50, 2.8267211843719915], [100, 2.7794920525574134], [150, 2.8140817958748623], [200, 2.991619808552871]], [[50, 2.878175801746719], [100, 2.728608063330874], [150, 2.6858503288309215], [200, 2.7396706480003292]], [[50, 2.894514698679102], [100, 2.832728301062896], [150, 2.847709398770547], [200, 2.920444387797173]], [[50, 3.0440099738712436], [100, 3.164678220776473], [150, 3.2873979944813647], [200, 3.378090650335497]], [[50, 3.0599819284440244], [100, 3.2231750243970483], [150, 3.42640821413702], [200, 3.3911638177123877]], [[50, 3.1073987934397564], [100, 3.1128678580512723], [150, 3.245580347576504], [200, 3.429485610164508]], [[50, 2.9535900123648484], [100, 2.9018376556956715], [150, 2.8641055770867987], [200, 2.9125897260922726]], [[50, 2.6270276597705218], [100, 2.4919080571617], [150, 2.547661815394968], [200, 2.705310085681296]], [[50, 2.760999019746087], [100, 2.754864279099658], [150, 2.8983724046272914], [200, 3.1442991701310885]], [[50, 3.063677860054056], [100, 2.9626385973587808], [150, 2.9258197831509323], [200, 3.0767185301078763]], [[50, 3.0325114983138137], [100, 3.024697406147347], [150, 3.150443540297403], [200, 3.2809902959001844]], [[50, 3.03690135936233], [100, 2.835230885910947], [150, 2.766306659983598], [200, 2.8184620181704885]], [[50, 3.0057104388965543], [100, 2.9376043650779136], [150, 2.9358093057670676], [200, 2.9910489987214217]], [[50, 2.9605043497885304], [100, 2.888518547863486], [150, 2.9946540472062084], [200, 3.1891960472676826]], [[50, 3.0154297458597585], [100, 2.9504603433189662], [150, 2.9464104354901357], [200, 3.0571776502545673]], [[50, 3.10909613800746], [100, 3.1342295580284474], [150, 3.11096439471357], [200, 3.1687998689333603]]]","[[[50, 2.9467194424430576], [100, 2.900882587025079], [150, 2.896137544277698], [200, 2.9317974653984247]], [[50, 3.0238079946426457], [100, 2.973230654324941], [150, 3.066634632495718], [200, 3.286206273545289]], [[50, 2.9847537694236492], [100, 2.9900654687478734], [150, 3.1264430308484474], [200, 3.35231131424233]], [[50, 3.0308535326233765], [100, 3.0510921734219667], [150, 3.144618516333727], [200, 3.3038631800210685]], [[50, 3.118853380479241], [100, 3.144498480612629], [150, 3.1636779005149887], [200, 3.260033093591429]], [[50, 3.0221446916737724], [100, 3.064091482141757], [150, 3.2217451506191055], [200, 3.444424662650731]], [[50, 3.029785841298097], [100, 2.9468439614811093], [150, 3.0933223577110804], [200, 3.3526393700594865]], [[50, 2.9612999626735563], [100, 2.8204228617081113], [150, 2.726884513983643], [200, 2.685775775539951]], [[50, 2.672950434159144], [100, 2.5569234117564603], [150, 2.573444340418756], [200, 2.7447824698052283]], [[50, 2.9053140863666713], [100, 2.8421664933092985], [150, 2.916216406308853], [200, 3.0888884033978723]], [[50, 2.937881481083456], [100, 2.845328786946487], [150, 2.922353465995126], [200, 3.110805819162467]], [[50, 2.8224690565513217], [100, 2.9637429993043245], [150, 3.156179333442507], [200, 3.3605093502163035]], [[50, 2.7609931521914053], [100, 2.657912307447288], [150, 2.74105664747806], [200, 2.9246712926073495]], [[50, 2.9015244863383343], [100, 2.782216277977687], [150, 2.8150419648899656], [200, 2.9575269061241185]], [[50, 2.774947564980837], [100, 2.5833562252379534], [150, 2.4776729609672676], [200, 2.5371186189461383]], [[50, 3.0085082077261744], [100, 3.088257428511134], [150, 3.063915470385413], [200, 2.974786231715647]], [[50, 3.2313120774364723], [100, 3.316897849364733], [150, 3.3643246345125744], [200, 3.3213613810564815]], [[50, 3.039947240500705], [100, 2.803199000293882], [150, 2.731908995955576], [200, 2.8444668180684007]], [[50, 3.094239392591398], [100, 3.108763623331927], [150, 3.0990254310538043], [200, 3.1173859181440746]], [[50, 2.948012116532448], [100, 2.8165534507290864], [150, 2.7387737381178625], [200, 2.7679483356082093]]]"
