agent,final_iteration,final_regret_loss,final_strategy_loss,final_regret_grad_norm,final_strategy_grad_norm,final_strategy_kl,final_cumulative_wall_clock_sec
ablation_lstm_(optimized)_seed_855124,200.0,24.96864891052246,0.16996149718761444,4.496056079864502,0.5986197590827942,0.811576247215271,0.7150140409999999
ablation_lstm_(no_history)_seed_614787,200.0,17.86854362487793,0.10468732565641403,6.651851654052734,1.7603590488433838,0.663923978805542,0.2898239589999996
ablation_lstm_(no_embedding)_seed_284658,200.0,16.552812576293945,0.2673526704311371,1.9878871440887451,0.6752732992172241,0.6550589799880981,0.8874498329999998
ablation_baseline_(one-hot)_seed_565189,200.0,2.029095411300659,0.15355783700942993,0.9852993488311768,0.12883636355400085,0.35141682624816895,0.43952833300000016
ablation_lstm_(optimized)_seed_747158,200.0,15.27564525604248,0.15147368609905243,2.3566794395446777,0.7552213668823242,0.7617201805114746,0.7235884159999983
ablation_lstm_(no_history)_seed_839658,200.0,16.653165817260742,0.10229247808456421,7.659239768981934,1.6350611448287964,0.43362516164779663,0.29793908399999935
ablation_lstm_(no_embedding)_seed_696273,200.0,16.1414852142334,0.22491256892681122,1.3547998666763306,0.5297245383262634,0.6808712482452393,0.9009792080000025
ablation_baseline_(one-hot)_seed_610099,200.0,4.302689075469971,0.17653019726276398,1.7348415851593018,0.1441613882780075,0.3791074752807617,0.43199870899999837
ablation_lstm_(optimized)_seed_575938,200.0,32.38748550415039,0.14291831851005554,3.251755714416504,0.5573114156723022,0.6859081983566284,0.7262792080000011
ablation_lstm_(no_history)_seed_929855,200.0,18.86109161376953,0.216687873005867,5.712880611419678,1.826693058013916,0.753844141960144,0.35742075000000106
ablation_lstm_(no_embedding)_seed_844343,200.0,37.40279769897461,0.20656655728816986,2.106729507446289,0.5083264112472534,0.7787725925445557,0.8856682500000019
ablation_baseline_(one-hot)_seed_798278,200.0,1.043779730796814,0.12344667315483093,0.606957733631134,0.18499977886676788,0.3160005211830139,0.6171521250000005
ablation_lstm_(optimized)_seed_876125,200.0,24.098976135253906,0.13384711742401123,4.590906143188477,0.4998559355735779,0.7520623207092285,0.7485022089999998
ablation_lstm_(no_history)_seed_191256,200.0,20.842111587524414,0.25781944394111633,6.749373912811279,2.1626734733581543,0.86383056640625,0.302645042
ablation_lstm_(no_embedding)_seed_374460,200.0,19.90390968322754,0.2124987244606018,1.716200590133667,0.5710055828094482,0.813684344291687,0.8818257079999992
ablation_baseline_(one-hot)_seed_141632,200.0,1.8610550165176392,0.15994490683078766,0.706365168094635,0.18709586560726166,0.36159592866897583,0.43571404100000066
ablation_lstm_(optimized)_seed_852370,200.0,26.843515396118164,0.15493540465831757,2.9284474849700928,0.5407910346984863,0.7339154481887817,0.7225416250000007
ablation_baseline_(σ=0.01)_seed_670487,1000.0,8.158308982849121,0.20376257598400116,2.2865419387817383,0.17480596899986267,0.37149739265441895,2.043364208
ablation_lstm_(no_history)_seed_194310,200.0,20.576852798461914,0.4316786229610443,12.4013671875,3.1715645790100098,1.1299269199371338,0.28925691700000034
ablation_lstm_(no_embedding)_seed_137900,200.0,19.356884002685547,0.2330726981163025,2.3808422088623047,0.46778759360313416,0.7600866556167603,0.890112791
ablation_baseline_(one-hot)_seed_895522,200.0,12.260359764099121,0.2262578010559082,2.6449623107910156,0.14958879351615906,0.38932520151138306,0.5011967499999996
ablation_baseline_(σ=0.05)_seed_670487,1000.0,6.081461429595947,0.18853133916854858,1.7905939817428589,0.17377375066280365,0.3645734190940857,2.0504211249999997
ablation_gru_(sequence)_seed_670487,1000.0,18.396142959594727,0.07762102037668228,2.6329002380371094,0.4326285123825073,0.4066122770309448,3.5332654579999994
ablation_baseline_(σ=0.10)_seed_670487,1000.0,8.164591789245605,0.2070053070783615,2.1680774688720703,0.17021018266677856,0.37404385209083557,2.088410917
